"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: probingFunctionId"
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.dynamicArraySeparateChaining","thrpt",1,15,3.053310,0.160348,"ops/s",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.dynamicArraySeparateChaining:·gc.alloc.rate","thrpt",1,15,961.920370,50.200174,"MB/sec",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.dynamicArraySeparateChaining:·gc.alloc.rate.norm","thrpt",1,15,346882678.761028,23330.114223,"B/op",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.dynamicArraySeparateChaining:·gc.churn.G1_Eden_Space","thrpt",1,15,924.342460,94.773194,"MB/sec",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.dynamicArraySeparateChaining:·gc.churn.G1_Eden_Space.norm","thrpt",1,15,332787855.459901,20178787.967863,"B/op",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.dynamicArraySeparateChaining:·gc.churn.G1_Old_Gen","thrpt",1,15,0.773962,1.517695,"MB/sec",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.dynamicArraySeparateChaining:·gc.churn.G1_Old_Gen.norm","thrpt",1,15,274237.006452,537990.664844,"B/op",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.dynamicArraySeparateChaining:·gc.churn.G1_Survivor_Space","thrpt",1,15,13.863666,6.961645,"MB/sec",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.dynamicArraySeparateChaining:·gc.churn.G1_Survivor_Space.norm","thrpt",1,15,4978130.400428,2549318.711576,"B/op",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.dynamicArraySeparateChaining:·gc.count","thrpt",1,15,212.000000,NaN,"counts",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.dynamicArraySeparateChaining:·gc.time","thrpt",1,15,6675.000000,NaN,"ms",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.javaHashMap","thrpt",1,15,8.180836,0.502903,"ops/s",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.javaHashMap:·gc.alloc.rate","thrpt",1,15,23.841044,1.462207,"MB/sec",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.javaHashMap:·gc.alloc.rate.norm","thrpt",1,15,3209191.866337,148.243804,"B/op",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.javaHashMap:·gc.churn.G1_Eden_Space","thrpt",1,15,17.124864,37.900430,"MB/sec",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.javaHashMap:·gc.churn.G1_Eden_Space.norm","thrpt",1,15,2370930.861029,5276439.522680,"B/op",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.javaHashMap:·gc.churn.G1_Survivor_Space","thrpt",1,15,0.025007,0.084551,"MB/sec",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.javaHashMap:·gc.churn.G1_Survivor_Space.norm","thrpt",1,15,3202.290641,10640.906033,"B/op",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.javaHashMap:·gc.count","thrpt",1,15,3.000000,NaN,"counts",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.javaHashMap:·gc.time","thrpt",1,15,5.000000,NaN,"ms",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.openAddressingHashMap","thrpt",1,15,6.852327,0.617692,"ops/s",0
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.openAddressingHashMap:·gc.alloc.rate","thrpt",1,15,268.455542,24.154568,"MB/sec",0
